p1_turkic & p1_mongolic & p1_tungusic & p1_koreanic & p1_japonic
GB020 & 0.05 & 0.05 & 0.05 & 0.04 & 0.05
GB021 & 0.03 & 0.03 & 0.03 & 0.02 & 0.03
GB022 & 0.28 & 0.24 & 0.25 & 0.2 & 0.23
GB023 & 0.05 & 0.1 & 0.06 & 0.03 & 0.05
GB026 & 0.53 & 0.15 & 0.83 & 0.32 & 0.12
GB027 & 0.49 & 0.49 & 0.49 & 0.42 & 0.48
GB028 & 0.26 & 0.96 & 0.96 & 0.1 & 0.2
GB030 & 0 & 0 & 0 & 0 & 0
GB031 & 0.03 & 0.02 & 0.02 & 0.01 & 0.03
GB035 & 0.6 & 0.21 & 0.2 & 0.8 & 0.67
GB037 & 0.03 & 0.03 & 0.03 & 0.03 & 0.03
GB039 & 0.17 & 0.59 & 0.19 & 0.65 & 0.38
GB041 & 0 & 0 & 0 & 0 & 0
GB042 & 0 & 0 & 0 & 0 & 0
GB043 & 0 & 0 & 0 & 0 & 0
GB044 & 0.8 & 0.75 & 0.64 & 0.6 & 0.47
GB046 & 0.96 & 0.92 & 0.96 & 0.87 & 0.95
GB047 & 1 & 1 & 1 & 1 & 1
GB048 & 0.91 & 0.91 & 0.91 & 0.89 & 0.9
GB049 & 0.99 & 0.99 & 0.99 & 1 & 0.9
GB057 & 0.16 & 0.18 & 0.39 & 0.71 & 0.78
GB059 & 0.39 & 0.07 & 0.88 & 0.04 & 0.08
GB068 & 0.1 & 0.07 & 0.06 & 0.92 & 0.85
GB069 & 0.17 & 0.13 & 0.12 & 0.99 & 0.96
GB070 & 1 & 1 & 1 & 1 & 1
GB071 & 1 & 1 & 1 & 1 & 1
GB072 & 1 & 1 & 1 & 1 & 1
GB073 & 1 & 1 & 1 & 1 & 1
GB074 & 0 & 0 & 0 & 0 & 0
GB075 & 1 & 1 & 1 & 1 & 1
GB079 & 0 & 0 & 0 & 0 & 0
GB080 & 1 & 1 & 1 & 1 & 1
GB082 & 0.85 & 0.85 & 0.85 & 0.84 & 0.85
GB083 & 1 & 1 & 1 & 1 & 1
GB084 & 0.67 & 0.29 & 0.81 & 0.51 & 0.29
GB086 & 0.73 & 0.77 & 0.76 & 0.69 & 0.77
GB089 & 0.87 & 0.45 & 0.69 & 0.03 & 0.06
GB091 & 0.87 & 0.45 & 0.69 & 0.03 & 0.06
GB103 & 0.03 & 0.03 & 0.03 & 0.16 & 0.05
GB105 & 0.1 & 0.1 & 0.09 & 0.14 & 0.1
GB107 & 0.95 & 0.47 & 0.78 & 0.94 & 0.96
GB108 & 0.05 & 0.05 & 0.63 & 0.03 & 0.15
GB110 & 0 & 0 & 0 & 0 & 0
GB111 & 0.37 & 0.05 & 0.97 & 0.49 & 0.96
GB113 & 1 & 1 & 1 & 1 & 1
GB114 & 0.77 & 0.04 & 0.1 & 0.19 & 0.04
GB115 & 0.91 & 0.91 & 0.85 & 0.61 & 0.41
GB117 & 1 & 1 & 1 & 1 & 1
GB118 & 0.22 & 0.22 & 0.21 & 0.25 & 0.23
GB119 & 0.76 & 0.76 & 0.67 & 0.2 & 0.39
GB120 & 0.71 & 0.71 & 0.7 & 0.67 & 0.71
GB121 & 0.5 & 0.5 & 0.5 & 0.41 & 0.48
GB122 & 0.11 & 0.1 & 0.14 & 0.92 & 0.83
GB123 & 1 & 0.19 & 0.97 & 0.99 & 1
GB126 & 0.71 & 0.7 & 0.7 & 0.74 & 0.71
GB127 & 0 & 0 & 0 & 0 & 0
GB132 & 0.07 & 0.07 & 0.07 & 0.06 & 0.07
GB133 & 1 & 1 & 1 & 1 & 1
GB134 & 1 & 1 & 1 & 1 & 1
GB135 & 0.85 & 0.85 & 0.84 & 0.87 & 0.85
GB136 & 0.76 & 0.52 & 0.17 & 0.45 & 0.19
GB137 & 0.85 & 0.49 & 0.73 & 0.38 & 0.86
GB138 & 0.03 & 0.03 & 0.03 & 0.03 & 0.03
GB139 & 0.41 & 0.89 & 0.56 & 0.87 & 0.89
GB140 & 0.13 & 0.13 & 0.14 & 0.35 & 0.2
GB146 & 0.2 & 0.65 & 0.63 & 0.85 & 0.64
GB147 & 1 & 0.99 & 1 & 1 & 1
GB150 & 1 & 1 & 1 & 1 & 1
GB151 & 0 & 0 & 0 & 0 & 0
GB152 & 0.84 & 0.84 & 0.84 & 0.84 & 0.84
GB155 & 1 & 1 & 1 & 1 & 1
GB156 & 0 & 0 & 0 & 0 & 0
GB158 & 0.1 & 0.1 & 0.1 & 0.09 & 0.1
GB159 & 0.15 & 0.15 & 0.15 & 0.27 & 0.15
GB160 & 0.75 & 0.75 & 0.75 & 0.76 & 0.75
GB166 & 0 & 0 & 0 & 0 & 0
GB167 & 0.03 & 0.03 & 0.03 & 0.03 & 0.03
GB184 & 0.1 & 0.1 & 0.1 & 0.08 & 0.09
GB185 & 0.28 & 0.35 & 0.33 & 0.2 & 0.28
GB187 & 0.98 & 0.97 & 0.98 & 0.99 & 0.98
GB188 & 0.07 & 0.1 & 0.27 & 0.06 & 0.09
GB196 & 0 & 0 & 0 & 0 & 0
GB197 & 0 & 0 & 0 & 0 & 0
GB204 & 0.88 & 0.88 & 0.88 & 0.9 & 0.88
GB250 & 0.07 & 0.08 & 0.06 & 0.06 & 0.72
GB252 & 0.76 & 0.78 & 0.77 & 0.8 & 0.78
GB253 & 0.19 & 0.88 & 0.85 & 0.17 & 0.34
GB254 & 0.71 & 0.37 & 0.5 & 0.86 & 0.38
GB256 & 0.09 & 0.44 & 0.25 & 0.08 & 0.08
GB257 & 0.2 & 0.2 & 0.2 & 0.18 & 0.2
GB263 & 0.87 & 0.87 & 0.87 & 0.85 & 0.88
GB264 & 0.06 & 0.06 & 0.06 & 0.05 & 0.06
GB265 & 0 & 0 & 0 & 0 & 0
GB266 & 0.92 & 0.93 & 0.72 & 0.03 & 0.08
GB273 & 0.05 & 0.04 & 0.25 & 0.95 & 0.87
GB275 & 0.36 & 0.24 & 0.26 & 0.15 & 0.22
GB276 & 0.08 & 0.07 & 0.07 & 0.2 & 0.07
GB285 & 0 & 0 & 0 & 0 & 0
GB286 & 0.09 & 0.09 & 0.09 & 0.08 & 0.09
GB296 & 0.32 & 0.31 & 0.41 & 0.38 & 0.39
GB297 & 0 & 0 & 0 & 0 & 0
GB298 & 0.03 & 0.03 & 0.68 & 0.05 & 0.06
GB299 & 0.09 & 0.81 & 0.07 & 0.91 & 0.06
GB301 & 0.55 & 0.3 & 0.44 & 0.17 & 0.24
GB302 & 0 & 0 & 0 & 0 & 0
GB304 & 0.89 & 0.82 & 0.92 & 0.94 & 0.94
GB305 & 1 & 1 & 1 & 1 & 1
GB306 & 0.1 & 0.1 & 0.22 & 0.59 & 0.37
GB309 & 0.84 & 0.19 & 0.6 & 0.5 & 0.13
GB312 & 1 & 1 & 1 & 1 & 1
GB313 & 0.15 & 0.14 & 0.14 & 0.12 & 0.14
GB316 & 0 & 0 & 0 & 0 & 0
GB318 & 0 & 0 & 0 & 0 & 0
GB322 & 0.21 & 0.23 & 0.19 & 0.41 & 0.2
GB323 & 0.27 & 0.27 & 0.27 & 0.26 & 0.27
GB324 & 0.47 & 0.47 & 0.47 & 0.46 & 0.47
GB325 & 0.29 & 0.29 & 0.29 & 0.36 & 0.29
GB326 & 0.92 & 0.92 & 0.92 & 0.93 & 0.92
GB327 & 0.2 & 0.16 & 0.19 & 0.13 & 0.16
GB328 & 1 & 1 & 1 & 1 & 1
GB329 & 0.12 & 0.12 & 0.18 & 0.1 & 0.13
GB330 & 0 & 0 & 0 & 0 & 0
GB333 & 1 & 1 & 1 & 1 & 1
GB400 & 0.1 & 0.1 & 0.1 & 0.07 & 0.09
GB401 & 0.33 & 0.34 & 0.33 & 0.37 & 0.34
GB403 & 0.03 & 0.03 & 0.02 & 0.05 & 0.83
GB408 & 1 & 1 & 1 & 1 & 1
GB409 & 0 & 0 & 0 & 0 & 0
GB410 & 0.88 & 0.86 & 0.21 & 0.47 & 0.1
GB415 & 0.32 & 0.32 & 0.29 & 0.53 & 0.34
GB421 & 0.45 & 0.07 & 0.05 & 0.04 & 0.06
GB422 & 0.12 & 0.09 & 0.06 & 0.79 & 0.86
GB431 & 0 & 0 & 0 & 0 & 0
GB432 & 0.93 & 0.95 & 0.33 & 0.97 & 0.95
GB433 & 0.99 & 1 & 0.95 & 0.05 & 0.09
GB519 & 0.19 & 0.19 & 0.19 & 0.17 & 0.19
GB520 & 0.03 & 0.03 & 0.03 & 0.02 & 0.03
GB521 & 0.07 & 0.07 & 0.07 & 0.06 & 0.07
GB522 & 1 & 1 & 1 & 1 & 1
TE003 & 0.85 & 0.49 & 0.03 & 0.31 & 0.03
TE004 & 0.1 & 0.08 & 0.87 & 0.55 & 0.08
TE005 & 0.06 & 0.09 & 0.78 & 0.07 & 0.14
TE006 & 0.1 & 0.36 & 0.06 & 0.82 & 0.89
TE007 & 0.06 & 0.26 & 0.05 & 0.4 & 0.17
TE008 & 0.82 & 0.68 & 0.87 & 0.26 & 0.86
TE018 & 1 & 1 & 1 & 0.08 & 0.16
TE019 & 1 & 1 & 1 & 0.07 & 0.14
TE027 & 0.4 & 0.41 & 0.39 & 0.49 & 0.39
TE031 & 0.83 & 0.96 & 0.97 & 0.97 & 0.31
TE037 & 0.58 & 0.58 & 0.57 & 0.57 & 0.58
TE038 & 1 & 1 & 1 & 0.07 & 0.14
TE039 & 0.61 & 0.67 & 0.71 & 0.6 & 0.69
TE050 & 0.03 & 0.03 & 0.04 & 0.02 & 0.04
TE052 & 0.84 & 0.52 & 0.1 & 0.01 & 0.02
TE053 & 0.5 & 0.81 & 0.74 & 0.85 & 0.66
TE054 & 0.89 & 0.89 & 0.87 & 0.82 & 0.88
TE059 & 0.13 & 0.13 & 0.14 & 0.38 & 0.13
