Values & Present & Median_D & SD_D
GB020 & 60 & 3 & 0.97 & 0.15
GB021 & 60 & 2 & 0.79 & 0.26
GB022 & 59 & 15 & 0.56 & 0.08
GB023 & 60 & 4 & 0.11 & 0.14
GB026 & 29 & 8 & -0.08 & 0.19
GB027 & 34 & 17 & 0.74 & 0.13
GB028 & 57 & 16 & -0.15 & 0.12
GB030 & 57 & 1 & -0.41 & 1.09
GB031 & 56 & 3 & -0.2 & 0.53
GB035 & 55 & 19 & 0.15 & 0.09
GB037 & 55 & 2 & 1.52 & 0.64
GB039 & 57 & 15 & 0.15 & 0.09
GB041 & 53 & 1 & -1.4 & 2.33
GB042 & 60 & 1 & 1.72 & 0.64
GB043 & 60 & 1 & 1.69 & 0.66
GB044 & 59 & 45 & 0.3 & 0.09
GB046 & 31 & 27 & -0.01 & 0.25
GB047 & 41 & 39 & -0.22 & 0.38
GB048 & 37 & 32 & 0.65 & 0.12
GB049 & 40 & 36 & 0.23 & 0.24
GB057 & 55 & 17 & -0.01 & 0.11
GB059 & 56 & 9 & -0.5 & 0.13
GB068 & 54 & 14 & -0.09 & 0.13
GB069 & 54 & 9 & -0.6 & 0.17
GB070 & 60 & 59 & -0.89 & 0.28
GB071 & 59 & 58 & -0.8 & 0.22
GB072 & 60 & 59 & -0.89 & 0.28
GB073 & 58 & 58 & -4.78 & 1.01
GB074 & 57 & 1 & 1.09 & 2.7
GB075 & 56 & 56 & -4.77 & 1
GB079 & 60 & 1 & 0.06 & 0.54
GB080 & 60 & 60 & -4.96 & 0.84
GB082 & 59 & 51 & 1.19 & 0.1
GB083 & 60 & 58 & 0.45 & 0.1
GB084 & 57 & 30 & 0.11 & 0.09
GB086 & 57 & 44 & 0.6 & 0.09
GB089 & 60 & 38 & -0.35 & 0.11
GB091 & 60 & 38 & -0.36 & 0.11
GB103 & 59 & 2 & 0.2 & 0.25
GB105 & 54 & 5 & 0.52 & 0.09
GB107 & 57 & 42 & -0.25 & 0.12
GB108 & 56 & 9 & -0.33 & 0.14
GB110 & 46 & 1 & 2.31 & 1.13
GB111 & 51 & 22 & -0.88 & 0.16
GB113 & 50 & 50 & -4.88 & 1.09
GB114 & 46 & 25 & -0.39 & 0.14
GB115 & 48 & 39 & 0.25 & 0.13
GB117 & 50 & 46 & 0.65 & 0.2
GB118 & 37 & 8 & 0.84 & 0.12
GB119 & 56 & 37 & 0.34 & 0.09
GB120 & 56 & 41 & 0.78 & 0.07
GB121 & 57 & 29 & 0.61 & 0.07
GB122 & 40 & 8 & -0.18 & 0.16
GB123 & 28 & 23 & -1.08 & 0.32
GB126 & 41 & 30 & 0.59 & 0.07
GB127 & 24 & 2 & -1.58 & 1.35
GB132 & 60 & 4 & 1.06 & 0.15
GB133 & 60 & 60 & -4.96 & 0.81
GB134 & 46 & 44 & -0.05 & 0.43
GB135 & 38 & 33 & 0.59 & 0.2
GB136 & 41 & 19 & 0.02 & 0.11
GB137 & 58 & 44 & 0.11 & 0.09
GB138 & 56 & 2 & 0.89 & 0.7
GB139 & 51 & 35 & 0.08 & 0.1
GB140 & 49 & 7 & 0.58 & 0.15
GB146 & 23 & 9 & -0.47 & 0.22
GB147 & 58 & 52 & -0.29 & 0.19
GB150 & 52 & 49 & 0.86 & 0.24
GB151 & 59 & 1 & -1.3 & 2.06
GB152 & 53 & 45 & 1.03 & 0.12
GB155 & 56 & 56 & -4.87 & 1.09
GB156 & 58 & 1 & -0.77 & 0.9
GB158 & 40 & 4 & 1.01 & 0.27
GB159 & 40 & 6 & 1.22 & 0.17
GB160 & 39 & 30 & 1.01 & 0.14
GB166 & 60 & 1 & 1.67 & 0.66
GB167 & 56 & 2 & 1.5 & 0.61
GB184 & 53 & 5 & 0.73 & 0.16
GB185 & 40 & 12 & 0.56 & 0.12
GB187 & 45 & 41 & -0.05 & 0.26
GB188 & 44 & 5 & 0.16 & 0.27
GB196 & 57 & 1 & -0.4 & 1.04
GB197 & 57 & 1 & -0.4 & 1.04
GB204 & 28 & 24 & 0.96 & 0.24
GB250 & 41 & 4 & -0.27 & 0.31
GB252 & 38 & 30 & 0.52 & 0.15
GB253 & 38 & 19 & -0.41 & 0.18
GB254 & 42 & 23 & 0.22 & 0.11
GB256 & 35 & 10 & -0.2 & 0.24
GB257 & 50 & 10 & 0.9 & 0.12
GB263 & 55 & 49 & 0.78 & 0.11
GB264 & 54 & 3 & 0.92 & 0.35
GB265 & 49 & 1 & -0.41 & 1.19
GB266 & 48 & 39 & -0.48 & 0.15
GB273 & 51 & 16 & -0.4 & 0.15
GB275 & 45 & 13 & 0.39 & 0.12
GB276 & 46 & 4 & 0.49 & 0.4
GB285 & 54 & 1 & -1.7 & 1.79
GB286 & 55 & 5 & 1.07 & 0.21
GB296 & 41 & 14 & 0.51 & 0.11
GB297 & 56 & 1 & -2 & 1.68
GB298 & 58 & 13 & -0.37 & 0.13
GB299 & 55 & 16 & -0.17 & 0.12
GB301 & 16 & 7 & -0.09 & 0.3
GB302 & 59 & 1 & 2.17 & 2.38
GB304 & 41 & 36 & 0.09 & 0.17
GB305 & 50 & 49 & -1.01 & 0.62
GB306 & 34 & 4 & -0.02 & 0.24
GB309 & 56 & 23 & -0.01 & 0.1
GB312 & 60 & 59 & 0.04 & 0.18
GB313 & 55 & 8 & 0.88 & 0.16
GB316 & 60 & 1 & 1.73 & 0.65
GB318 & 60 & 1 & 1.7 & 0.65
GB322 & 55 & 12 & 0.6 & 0.09
GB323 & 54 & 15 & 1.04 & 0.08
GB324 & 44 & 21 & 1.26 & 0.08
GB325 & 41 & 12 & 1.12 & 0.1
GB326 & 39 & 35 & 0.87 & 0.18
GB327 & 52 & 9 & 0.68 & 0.13
GB328 & 52 & 51 & 0.01 & 0.65
GB329 & 41 & 5 & 0.57 & 0.2
GB330 & 45 & 1 & -0.94 & 2.66
GB333 & 50 & 50 & -4.48 & 0.94
GB400 & 54 & 5 & 0.83 & 0.23
GB401 & 14 & 5 & 0.91 & 0.29
GB403 & 40 & 4 & -1.31 & 0.39
GB408 & 60 & 59 & -0.31 & 0.17
GB409 & 55 & 1 & -0.16 & 1.04
GB410 & 55 & 32 & -0.18 & 0.11
GB415 & 57 & 18 & 0.56 & 0.09
GB421 & 34 & 6 & -0.26 & 0.28
GB422 & 32 & 8 & -0.58 & 0.25
GB431 & 60 & 1 & 1.06 & 0.55
GB432 & 60 & 50 & 0.04 & 0.09
GB433 & 59 & 44 & -0.9 & 0.16
GB519 & 57 & 11 & 0.81 & 0.1
GB520 & 59 & 2 & 1.22 & 0.8
GB521 & 59 & 4 & 0.95 & 0.28
GB522 & 50 & 49 & -0.59 & 0.57
TE003 & 58 & 31 & -0.48 & 0.12
TE004 & 58 & 8 & -0.44 & 0.14
TE005 & 49 & 11 & -0.29 & 0.13
TE006 & 44 & 11 & -0.45 & 0.17
TE007 & 56 & 8 & -0.3 & 0.17
TE008 & 59 & 48 & 0.29 & 0.11
TE018 & 56 & 40 & -0.27 & 0.13
TE019 & 57 & 43 & -0.38 & 0.14
TE027 & 54 & 22 & 0.6 & 0.1
TE031 & 59 & 44 & -0.12 & 0.11
TE037 & 59 & 35 & 0.66 & 0.06
TE038 & 59 & 42 & -0.53 & 0.13
TE039 & 57 & 38 & 0.36 & 0.08
TE050 & 54 & 2 & 0.79 & 0.6
TE052 & 55 & 30 & -0.58 & 0.14
TE053 & 57 & 35 & 0.23 & 0.08
TE054 & 44 & 39 & 0.61 & 0.14
TE059 & 52 & 7 & 0.55 & 0.13
TE066 & 60 & 36 & -0.87 & 0.15
TE078 & 58 & 4 & 0.03 & 0.23
TS001 & 55 & 53 & 0.32 & 0.16
TS002 & 53 & 13 & -0.07 & 0.11
TS003 & 59 & 59 & -4.68 & 1.06
TS005 & 59 & 59 & -4.6 & 1.01
TS006 & 59 & 43 & -0.66 & 0.14
TS007 & 58 & 58 & -4.85 & 1.01
TS009 & 30 & 23 & 1.09 & 0.12
TS010 & 28 & 10 & 0.7 & 0.16
TS079 & 54 & 5 & -0.26 & 0.23
TS080 & 54 & 24 & 0.08 & 0.1
TS086 & 60 & 60 & -4.94 & 0.81
TS088 & 59 & 12 & -0.19 & 0.13
