er_log10 & er_log10_sd & q10_log10 & q10_log10_sd & q01_log10 & q01_log10_sd
GB020 & -1.4 & -2 & 1.1 & 1.54 & -0.19 & 0.25
GB021 & -1.7 & -Inf & 0.75 & 1.48 & -0.72 & -0.03
GB022 & -0.15 & 1.62 & 1.32 & 1.64 & 0.84 & 1.16
GB023 & -1.4 & -2 & 0.27 & 1 & -0.89 & -0.17
GB026 & -0.77 & -0.59 & -0.41 & 1.08 & -0.89 & 0.65
GB027 & 2 & 1.66 & 2 & 1.66 & 1.97 & 1.64
GB028 & -0.68 & 0.46 & -0.42 & 1.23 & -10 & 0.81
GB030 & -10 & -Inf & -10 & -Inf & -10 & -Inf
GB031 & -1.52 & -2 & 0 & 0.57 & -1.3 & -0.72
GB035 & -0.4 & 1.41 & -0.23 & 1.49 & -0.51 & 1.2
GB037 & -1.7 & -Inf & 1.16 & 1.56 & -0.3 & 0.09
GB039 & -0.55 & 0.85 & -0.12 & 1.3 & -0.6 & 0.84
GB041 & -10 & -Inf & -10 & -Inf & -10 & -Inf
GB042 & -10 & -Inf & -10 & -Inf & -10 & -Inf
GB043 & -10 & -Inf & -10 & -Inf & -10 & -Inf
GB044 & -0.49 & 1.22 & -0.44 & 1.09 & -0.07 & 1.57
GB046 & -1 & 0.13 & -1 & 0.61 & -10 & 1.34
GB047 & -1.3 & -2 & -1.3 & -2 & -10 & -Inf
GB048 & -0.85 & 0.78 & 0.06 & 0.88 & 0.77 & 1.6
GB049 & -1.05 & -1.7 & -1.05 & -0.24 & -10 & 0.62
GB057 & -0.64 & 1.18 & -0.34 & 1.51 & -0.64 & 1.15
GB059 & -1.05 & -1.7 & -0.38 & -0.82 & -1.4 & -1.7
GB068 & -0.82 & 0.35 & -0.48 & 0.9 & -0.85 & 0.44
GB069 & -1.1 & -1.7 & -0.49 & -0.96 & -2 & -1.52
GB070 & -1.52 & -2 & -1.7 & -Inf & -10 & -Inf
GB071 & -1.52 & -2 & -1.7 & -1 & -10 & 0.5
GB072 & -1.52 & -2 & -1.7 & -Inf & -10 & -Inf
GB073 & -2 & -Inf & -10 & -Inf & -10 & -2
GB074 & -10 & -Inf & -10 & -Inf & -10 & -Inf
GB075 & -2 & -Inf & -10 & -Inf & -10 & -2
GB079 & -10 & -Inf & -10 & -Inf & -10 & -Inf
GB080 & -2 & -Inf & -10 & -Inf & -10 & -1.7
GB082 & -0.72 & 1.12 & 0.96 & 0.83 & 1.7 & 1.58
GB083 & -1.3 & -2 & -1.4 & -0.02 & -10 & 1.28
GB084 & -0.47 & 1.46 & -0.42 & 1.52 & -0.51 & 1.55
GB086 & -0.48 & 1.38 & 0.02 & 1.08 & 0.49 & 1.57
GB089 & -0.8 & 0.21 & -0.92 & 0.63 & -0.68 & 0.85
GB091 & -0.8 & -1.4 & -0.92 & 0.59 & -0.68 & 0.8
GB103 & -1.52 & -Inf & 0.66 & 1.47 & -0.8 & -0.03
GB105 & -1.05 & -1.7 & 1.32 & 1.59 & 0.34 & 0.59
GB107 & -0.85 & 0.32 & -0.89 & 0.08 & -0.6 & 0.5
GB108 & -1.1 & -1.7 & -0.33 & -0.6 & -1.05 & -1.7
GB110 & -10 & -Inf & -10 & -Inf & -10 & -Inf
GB111 & -1.15 & -1.7 & -1.4 & -1.22 & -1.22 & -1.4
GB113 & -2 & -Inf & -10 & -Inf & -10 & -2
GB114 & -0.8 & 0.61 & -1.4 & 1.25 & -0.8 & 1.3
GB115 & -0.77 & 0.53 & -0.72 & 0.65 & -0.4 & 1.24
GB117 & -1.05 & -1.7 & -1.1 & -1.7 & -10 & -0.8
GB118 & -0.46 & 1.51 & 1.06 & 1.6 & 0.49 & 1.03
GB119 & -0.43 & 1.26 & -0.38 & 1.12 & -0.21 & 1.39
GB120 & -0.09 & 1.56 & 0.32 & 1.17 & 0.71 & 1.58
GB121 & 1.07 & 1.64 & 1.09 & 1.64 & 1.08 & 1.64
GB122 & -0.92 & 0.16 & -0.39 & 1.19 & -1.05 & 0.58
GB123 & -1.15 & -1.7 & -1.1 & -1.7 & -10 & -1.3
GB126 & 1.28 & 1.67 & 1.58 & 1.23 & 1.98 & 1.63
GB127 & -10 & -Inf & -10 & -1 & -10 & -2
GB132 & -1.22 & -2 & 1.21 & 1.56 & 0.06 & 0.41
GB133 & -2 & -Inf & -10 & -Inf & -10 & -1.7
GB134 & -1.3 & -2 & -1.3 & -2 & -10 & -Inf
GB135 & -0.85 & 0.5 & 0.46 & 0.85 & 1.19 & 1.59
GB136 & -0.6 & 1.44 & -0.48 & 1.57 & -0.66 & 1.49
GB137 & -0.66 & 0.84 & -0.59 & 0.94 & -0.13 & 1.4
GB138 & -1.7 & -Inf & 0.88 & 1.5 & -0.57 & 0.03
GB139 & -0.6 & 1.12 & -0.72 & 1.13 & -0.33 & 1.44
GB140 & -0.89 & 0.47 & 0.47 & 1.51 & -0.33 & 0.72
GB146 & -0.66 & -1.22 & -0.48 & 0.97 & -0.8 & 0.75
GB147 & -1.15 & -2 & -1.15 & -1.7 & -10 & -0.82
GB150 & -1.15 & -2 & -1.15 & 0.26 & -10 & 1.35
GB151 & -10 & -Inf & -10 & -Inf & -10 & -Inf
GB152 & -0.72 & 1 & 0.72 & 0.9 & 1.41 & 1.6
GB155 & -2 & -Inf & -10 & -Inf & -10 & -2
GB156 & -10 & -Inf & -10 & -Inf & -10 & -Inf
GB158 & -1.1 & -1.7 & 1.21 & 1.56 & 0.26 & 0.6
GB159 & -0.82 & 0.03 & 0.85 & 1.43 & 0.1 & 0.67
GB160 & 1.39 & 1.67 & 1.37 & 1.16 & 1.85 & 1.62
GB166 & -10 & -Inf & -10 & -Inf & -10 & -Inf
GB167 & -1.7 & -Inf & 1.11 & 1.54 & -0.36 & 0.07
GB184 & -1.05 & -1.7 & 1.23 & 1.58 & 0.25 & 0.59
GB185 & -0.35 & 1.59 & 0.61 & 1.62 & 0.23 & 1.24
GB187 & -1.1 & -1.7 & -1.1 & 0.03 & -10 & 0.94
GB188 & -1.1 & -2 & -0.04 & 1.18 & -0.92 & 0.28
GB196 & -10 & -Inf & -10 & -Inf & -10 & -Inf
GB197 & -10 & -Inf & -10 & -Inf & -10 & -Inf
GB204 & -0.85 & 1.3 & 0.14 & 0.87 & 0.81 & 1.55
GB250 & -1.15 & -1.7 & -0.18 & 0.96 & -1.4 & -0.03
GB252 & -0.64 & 1.56 & 0.79 & 1.13 & 1.31 & 1.65
GB253 & -0.72 & 0.58 & -0.72 & 1.08 & -0.74 & 1.06
GB254 & -0.33 & 1.13 & -0.34 & 1.15 & -0.3 & 1.21
GB256 & -0.89 & 0.78 & -0.42 & 1.29 & -0.82 & 0.88
GB257 & -0.52 & 1.55 & 1.4 & 1.62 & 0.79 & 1.01
GB263 & -0.85 & 0.52 & 0.76 & 0.76 & 1.6 & 1.6
GB264 & -1.3 & -2 & 1.19 & 1.55 & -0.05 & 0.31
GB265 & -10 & -Inf & -10 & -Inf & -10 & -Inf
GB266 & -1 & -1.52 & -1.15 & -1.4 & -0.74 & -1.22
GB273 & -0.85 & -1.4 & -1.52 & -0.92 & -0.89 & -1.52
GB275 & -0.44 & 1.49 & 0.08 & 1.58 & -0.35 & 1.18
GB276 & -1.3 & -2 & 0.49 & 1.39 & -0.6 & 0.36
GB285 & -10 & -Inf & -10 & -Inf & -10 & -Inf
GB286 & -1.05 & -1.7 & 1.66 & 1.59 & 0.66 & 0.58
